taxon_long,genus,species_short,n_crc,n_control,prevalence_crc,prevalence_control,median_abundance_crc_percent,median_abundance_control_percent,median_diff_crc_minus_control_percent,coef_crc_clr_adjusted,se_hc3,pvalue,qvalue_bh,direction_adjusted
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,Bifidobacterium,Bifidobacterium animalis,701,694,0.0756062767475035,0.1095100864553314,0.0,0.0,0.0,-0.4445974473475702,0.1262546339227024,0.0004292183862828,0.0026963518833963,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,Eubacterium,Eubacterium ventriosum,701,694,0.5206847360912982,0.5547550432276657,0.00165,0.0147,-0.01305,-0.7629992161760278,0.2167018715170912,0.0004299830245947,0.0026963518833963,control_higher
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,Asaccharobacter,Asaccharobacter celatus,701,694,0.5392296718972895,0.5864553314121037,0.00146,0.005415,-0.003955,-0.6147113597255389,0.1754352243268072,0.0004584594479902,0.0028162508947969,control_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,Gemella,Gemella haemolysans,701,694,0.2967189728958631,0.1974063400576368,0.0,0.0,0.0,0.4552178379985373,0.1350735096036504,0.0007512757983199,0.004522680305886,CRC_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,Lactobacillus,Lactobacillus delbrueckii,701,694,0.0684736091298145,0.0979827089337175,0.0,0.0,0.0,-0.3250606314970758,0.0973392393197485,0.0008394101848803,0.0049541659931176,control_higher
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,Haemophilus,Haemophilus parainfluenzae,701,694,0.4593437945791726,0.5057636887608069,0.0,0.000845,-0.000845,-0.6416080850142403,0.1941038523571956,0.0009481093677228,0.005418308201165,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,Blautia,Blautia producta,701,694,0.1255349500713266,0.1628242074927954,0.0,0.0,0.0,-0.4297237689567928,0.1300720431112011,0.0009540542679792,0.005418308201165,control_higher
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,Escherichia,Escherichia coli,701,694,0.7546362339514978,0.6671469740634006,0.09856,0.03879,0.05977,0.7885342499104881,0.2396522616551729,0.0010007110043727,0.005578037265115,CRC_higher
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,Adlercreutzia,Adlercreutzia equolifaciens,701,694,0.557774607703281,0.600864553314121,0.00311,0.0085,-0.00539,-0.5973791872842259,0.1830591137639929,0.0011011782531264,0.0060264482580191,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis,Lactonifactor,Lactonifactor longoviformis,701,694,0.0756062767475035,0.0893371757925072,0.0,0.0,0.0,-0.2678334076841589,0.0831867647289315,0.0012834105554466,0.0068983317355256,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,Pseudoflavonifractor,Pseudoflavonifractor capillosus,701,694,0.0841654778887303,0.0965417867435158,0.0,0.0,0.0,-0.2835432810300397,0.0884358805447922,0.0013449962000413,0.0071025237932005,control_higher
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,Atopobium,Atopobium parvulum,701,694,0.1554921540656205,0.0677233429394812,0.0,0.0,0.0,0.2937655987892299,0.0921013514276277,0.0014247450412915,0.0073939354729096,CRC_higher
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,Holdemania,Holdemania filiformis,701,694,0.477888730385164,0.3804034582132565,0.0,0.0,0.0,0.5348556244663206,0.1687156361996347,0.0015235482240618,0.0077726782278407,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,Fusicatenibacter,Fusicatenibacter saccharivorans,701,694,0.8288159771754636,0.8472622478386167,0.43861,0.61121,-0.1726,-0.57937391766472,0.184700609835172,0.0017078668631315,0.0085677987633764,control_higher
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,Turicibacter,Turicibacter sanguinis,701,694,0.2139800285306704,0.2622478386167147,0.0,0.0,0.0,-0.5053573791314576,0.1621641658940555,0.0018311598655652,0.0089713334767512,control_higher
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,Bifidobacterium,Bifidobacterium pseudocatenulatum,701,694,0.4194008559201141,0.4582132564841498,0.0,0.0,0.0,-0.75014228723353,0.2409209302198867,0.0018479158656431,0.0089713334767512,control_higher
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,Prevotella,Prevotella stercorea,701,694,0.1825962910128388,0.1023054755043227,0.0,0.0,0.0,0.5652543068933465,0.1821958108541272,0.0019192271528308,0.0091696408413027,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,Ruminococcus,Ruminococcus lactaris,701,694,0.3281027104136947,0.3890489913544668,0.0,0.0,0.0,-0.7158501231598261,0.2338707680318301,0.0022068825808709,0.0103792446381589,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae,Anaerostipes,Anaerostipes caccae,701,694,0.0499286733238231,0.0605187319884726,0.0,0.0,0.0,-0.2614173713053727,0.0866114382145218,0.0025421584642335,0.0117721491959124,control_higher
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,Parasutterella,Parasutterella excrementihominis,701,694,0.4022824536376604,0.4452449567723343,0.0,0.0,0.0,-0.6407242442972728,0.2148528280692279,0.0028622787771186,0.0129833258484206,control_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae,Lactobacillus,Lactobacillus rogosae,701,694,0.2439372325249643,0.276657060518732,0.0,0.0,0.0,-0.4618512064471073,0.1554106412536812,0.0029604791680209,0.0129833258484206,control_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,Streptococcus,Streptococcus mitis,701,694,0.5049928673323824,0.4293948126801152,0.00044,0.0,0.00044,0.5143401722126136,0.1732605366609304,0.0029916568152024,0.0129833258484206,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,Blautia,Blautia wexlerae,701,694,0.8630527817403709,0.8760806916426513,0.07732,0.1041,-0.0267799999999999,-0.4456112486249335,0.1501222462271326,0.0029942993750004,0.0129833258484206,control_higher
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,Bifidobacterium,Bifidobacterium bifidum,701,694,0.1968616262482168,0.2449567723342939,0.0,0.0,0.0,-0.6404619720679334,0.2159521904135428,0.0030193781042838,0.0129833258484206,control_higher
